#Time Threads
76591.081055 1
43903.693115 2
35288.933105 3
30915.897949 4
26889.935791 5
27492.943115 6
26941.193115 7
25148.350098 8
24048.800049 9
23437.078857 10
23584.225098 11
23674.093018 12
23978.497070 13
22824.521973 14
22708.527832 15
22327.984863 16
22014.175049 17
22108.526855 18
21793.514893 19
21986.356934 20
21579.273926 21
22256.052979 22
21625.281982 23
21944.572998 24
21542.865967 25
22017.338135 26
21728.984131 27
21491.972168 28
21059.901123 29
21356.488037 30
21184.156006 31
21030.415039 32
